drama,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03
不说话的爱,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
临江仙,77.0,105.0,118.0,131.0,143.0,163.0,168.0,189.0,205.0,218.0,239.0,255.0,259.0,268.0,281.0,306.0,323.0,330.0,331.0,337.0,343.0,0.0
书卷一梦,0.0,32.0,34.0,39.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
以法之名,0.0,24.0,0.0,33.0,39.0,45.0,0.0,0.0,0.0,0.0,0.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
以爱为营,33.0,47.0,57.0,68.0,74.0,82.0,0.0,91.0,95.0,102.0,110.0,118.0,120.0,122.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
余生，请多指教,0.0,0.0,0.0,0.0,40.0,46.0,48.0,51.0,67.0,77.0,83.0,94.0,0.0,117.0,128.0,142.0,150.0,154.0,0.0,159.0,0.0,0.0
北上,71.0,101.0,114.0,129.0,140.0,159.0,165.0,183.0,202.0,214.0,232.0,248.0,249.0,261.0,275.0,300.0,313.0,318.0,322.0,325.0,332.0,0.0
卿卿日常,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
向阳·花,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
哪吒之魔童闹海,35.0,67.0,92.0,107.0,123.0,146.0,161.0,185.0,201.0,220.0,269.0,309.0,311.0,344.0,378.0,456.0,498.0,521.0,530.0,542.0,557.0,558.0
唐朝诡事录,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
唐朝诡事录之西行,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,63.0,79.0,0.0,0.0,0.0,0.0,142.0,155.0,163.0,171.0,178.0,184.0,185.0
四方馆,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
国色芳华,0.0,0.0,39.0,54.0,67.0,72.0,79.0,88.0,102.0,112.0,130.0,144.0,146.0,165.0,175.0,202.0,214.0,228.0,231.0,238.0,243.0,0.0
